학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000002739,대구남산초등학교,초등학교,1935-06-15,공립,본교,운영,대구광역시 중구 남산동 122,대구광역시 중구 남산로 70,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2020-09-22,35.86300415,128.5831538,2021-03-25
B000005698,명지초등학교,초등학교,1956-05-09,공립,본교,운영,충청남도 서산시 대산읍 대로리 278,충청남도 서산시 대산읍 명지3로 25,8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,2020-09-22,36.97149459,126.4096271,2021-03-25
B000012952,홍주고등학교,고등학교,1974-01-05,사립,본교,운영,충청남도 홍성군 홍성읍 오관리 516,충청남도 홍성군 홍성읍 문화로 78,8140000,충청남도교육청,8261000,충청남도홍성교육지원청,2013-11-29,2020-09-22,36.59365683,126.6632657,2021-03-25
B000005070,횡성초등학교,초등학교,1911-06-27,공립,본교,운영,강원도 횡성군 횡성읍 읍하리 176-1,강원도 횡성군 횡성읍 교항북로 35,7800000,강원도교육청,7891000,강원도횡성교육지원청,2013-11-29,2020-09-22,37.48706574,127.9796988,2021-03-25
B000005137,함백초등학교,초등학교,1943-10-05,공립,본교,운영,강원도 정선군 신동읍 조동리 193,강원도 정선군 신동읍 조동6길 17-12,7800000,강원도교육청,7921000,강원도정선교육지원청,2013-11-29,2020-09-22,37.21597464,128.6724958,2021-03-25
B000006204,남원대산초등학교,초등학교,1928-06-20,공립,본교,운영,전라북도 남원시 대산면 운교리 178,전라북도 남원시 대산면 운교1길 10,8320000,전라북도교육청,8371000,전라북도남원교육지원청,2013-11-29,2020-09-22,35.43152159,127.3264041,2021-03-25
B000011781,원경고등학교,고등학교,1998-03-01,사립,본교,운영,경상남도 합천군 적중면 황정리 292,경상남도 합천군 적중면 황정1길 37,9010000,경상남도교육청,9221000,경상남도합천교육지원청,2013-11-29,2020-09-22,35.5397894,128.2848117,2021-03-25
B000005112,미탄초등학교,초등학교,1933-10-01,공립,본교,운영,강원도 평창군 미탄면 창리 776-1,강원도 평창군 미탄면 미탄중앙로 49,7800000,강원도교육청,7911000,강원도평창교육지원청,2013-11-29,2020-09-22,37.34196546,128.5003386,2021-03-25
B000012132,성지고등학교,고등학교,1960-11-01,사립,본교,운영,부산광역시 남구 우암동 110-87,부산광역시 남구 유엔로 39,7150000,부산광역시교육청,7181000,부산광역시남부교육지원청,2013-11-29,2020-09-22,35.12839696,129.0820024,2021-03-25
B000007741,마전초등학교,초등학교,1975-07-21,공립,본교,운영,경상남도 거제시 장승포동 613,경상남도 거제시 마전2길 3-4,9010000,경상남도교육청,9111000,경상남도거제교육지원청,2013-11-29,2020-09-22,34.85990236,128.7205688,2021-03-25
B000008783,연평중학교,중학교,1947-04-07,공립,본교,운영,인천광역시 옹진군 연평면 연평리 437-1,인천광역시 옹진군 연평면 연평로 137번길 101,7310000,인천광역시교육청,7321000,인천광역시남부교육지원청,2013-11-29,2020-09-22,37.66383936,125.7038687,2021-03-25
B000022793,금호고등학교,고등학교,2017-03-01,공립,본교,운영,서울특별시 성동구 금호동1가 1822,서울특별시 성동구 금호로 118,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2020-09-22,37.55332515,127.0239058,2021-03-25
B000008711,협성경복중학교,중학교,1955-05-27,사립,본교,운영,대구광역시 남구 봉덕동 1322-3,대구광역시 남구 효성로 33,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2013-11-29,2020-09-22,35.83565834,128.5986199,2021-03-25
B000025248,인천은송초등학교,초등학교,2020-03-01,공립,본교,운영,인천광역시 연수구 송도동 314-1,인천광역시 연수구 센트럴로 460,7310000,인천광역시교육청,7341000,인천광역시동부교육지원청,2013-11-29,2020-09-22,37.41382415,126.6297242,2021-03-25
B000008296,동북중학교,중학교,1953-06-04,사립,본교,운영,서울특별시 강동구 둔촌동 180-2,서울특별시 강동구 강동대로 305,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2020-09-22,37.52004583,127.1402647,2021-03-25
B000011359,성덕고등학교,고등학교,1977-03-04,사립,본교,운영,서울특별시 강동구 천호동 23-3,서울특별시 강동구 구천면로 396,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2020-09-22,37.55059239,127.1421023,2021-03-25
B000010682,환호여자중학교,중학교,1991-03-09,공립,본교,운영,경상북도 포항시 북구 환호동 70,경상북도 포항시 북구 삼호로 480-6,8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2020-09-22,36.07145568,129.4015054,2021-03-25
B000005683,도고온천초등학교,초등학교,1949-09-01,공립,본교,운영,충청남도 아산시 도고면 신언리 60-1,충청남도 아산시 도고면 도고면로 73,8140000,충청남도교육청,8181000,충청남도아산교육지원청,2013-11-29,2020-09-22,36.7576106,126.8758392,2021-03-25
B000007990,신광초등학교,초등학교,1989-03-30,공립,본교,운영,제주특별자치도 제주시 연동 1996-5,제주특별자치도 제주시 성신로 25,9290000,제주특별자치도교육청,9296000,제주특별자치도제주시교육지원청,2013-11-29,2020-09-22,33.49171371,126.4843069,2021-03-25
B000010958,평해중학교,중학교,1947-09-23,공립,본교,운영,경상북도 울진군 평해읍 평해리 413,경상북도 울진군 평해읍 평해7길 61-3,8750000,경상북도교육청,8971000,경상북도울진교육지원청,2013-11-29,2020-09-22,36.7287366,129.4439653,2021-03-25
B000006576,다압초등학교,초등학교,1969-09-06,공립,본교,운영,전라남도 광양시 다압면 고사리 1106,전라남도 광양시 다압면 항동3길 10,8490000,전라남도교육청,8551000,전라남도광양교육지원청,2013-11-29,2020-09-22,35.12050359,127.6919697,2021-03-25
B000006573,진상초등학교,초등학교,1920-09-30,공립,본교,운영,전라남도 광양시 진상면 섬거리 553-1,전라남도 광양시 진상면 신시2길 44,8490000,전라남도교육청,8551000,전라남도광양교육지원청,2013-11-29,2020-09-22,35.02005784,127.715576,2021-03-25
B000024102,서울어울초등학교,초등학교,2018-09-01,공립,본교,운영,서울특별시 은평구 녹번동 281-5,서울특별시 은평구 통일로 650,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2020-09-22,37.60636007,126.9350984,2021-03-25
B000006328,구림초등학교,초등학교,1922-05-10,공립,본교,운영,전라북도 순창군 구림면 운남리 234-2,전라북도 순창군 구림면 방화로 6,8320000,전라북도교육청,8441000,전라북도순창교육지원청,2013-11-29,2020-09-22,35.45316783,127.100762,2021-03-25
B000023905,소담중학교,중학교,2016-03-01,공립,본교,운영,세종특별자치시 소담동 9-200,세종특별자치시 남세종로 340,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2013-11-29,2020-09-22,36.48201818,127.3016005,2021-03-25
B000007096,구평초등학교,초등학교,1949-10-20,공립,본교,운영,경상북도 구미시 구평동 121-2,경상북도 구미시 인동가산로 382-14,8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2020-09-22,36.09156873,128.4518167,2021-03-25
B000003488,대전전민초등학교,초등학교,1994-03-02,공립,본교,운영,대전광역시 유성구 전민동 468,대전광역시 유성구 엑스포로466번길 42,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2020-09-22,36.39845393,127.4066109,2021-03-25
B000006299,계남초등학교,초등학교,1934-05-01,공립,본교,운영,전라북도 장수군 계남면 화음리 971,전라북도 장수군 계남면 조곡길 1,8320000,전라북도교육청,8421000,전라북도장수교육지원청,2013-11-29,2020-09-22,35.70202656,127.578198,2021-03-25
B000011158,신창여자중학교,중학교,1970-03-01,사립,본교,운영,경상남도 창녕군 창녕읍 술정리 151,경상남도 창녕군 창녕읍 서재골길 7,9010000,경상남도교육청,9141000,경상남도창녕교육지원청,2013-11-29,2020-09-22,35.53784473,128.4935657,2021-03-25
B000011491,부천공업고등학교,고등학교,1950-06-01,공립,본교,운영,경기도 부천시 송내동 455,경기도 부천시 경인로120번길 82,7530000,경기도교육청,7581000,경기도부천교육지원청,2013-11-29,2021-03-23,37.48135004,126.7674867,2021-03-25
B000010375,천천중학교,중학교,1971-03-08,공립,본교,운영,전라북도 장수군 천천면 춘송리 453-1,전라북도 장수군 천천면 춘송길 47,8320000,전라북도교육청,8421000,전라북도장수교육지원청,2013-11-29,2020-09-22,35.73577714,127.5382857,2021-03-25
B000004022,능원초등학교,초등학교,1944-03-31,공립,본교,운영,경기도 용인시 처인구 모현읍 능원리 57,경기도 용인시 처인구 모현읍 충렬로8번길 29,7530000,경기도교육청,7751000,경기도용인교육지원청,2013-11-29,2020-09-22,37.34335459,127.1738263,2021-03-25
B000005477,무극초등학교,초등학교,1917-10-01,공립,본교,운영,충청북도 음성군 금왕읍 무극리 86,충청북도 음성군 금왕읍 금석로 64,8000000,충청북도교육청,8101000,충청북도음성교육지원청,2013-11-29,2020-09-22,36.99125595,127.5990105,2021-03-25
